0,-381681,-219254,-149591,-216037,-275319,-69720,-255003,-110966,-238975,-198692,-214612,-86051,-132282,-92765,-82934,-120883,-101726,-140097,-205940,-202989,-240018,-125499,-82632,-92430,-83201,-408808,-159653,-87630
0,-386787,-219399,-151957,-207137,-265365,-72850,-214671,-107788,-240532,-201663,-216226,-88970,-127250,-76936,-97192,-116984,-111193,-139452,-207156,-198248,-176348,-132224,-82719,-91399,-82767,-411129,-167344,-83925
0,-210679,-174433,-129628,-135044,-157009,-86602,-146518,-127993,-147872,-105289,-134322,-73757,-88966,-77099,-79372,-24206,12152,-41836,-115895,-89725,-39357,-89401,-81709,-98753,-79455,-163470,-102898,50711
0,-384470,-244383,-231811,-143347,-240890,-85389,-248251,-171962,-152277,-264432,-235233,-78800,-115600,-91926,-91881,-60745,-253153,-146642,-209736,-141707,-232499,-193854,-85710,-99137,-76025,-408763,-83736,-160664
0,-367392,-243754,-218035,-137451,-248959,-87744,-242421,-169690,-153988,-252521,-226160,-77518,-112173,-98597,-90538,-49014,-160661,-138503,-238310,-150953,-203628,-179966,-79378,-99492,-79247,-408528,-82626,-139428
1,-9891,-25650,81210,-143651,42824,133714,74498,-115338,-157304,76352,51318,-80450,-64281,-75961,-47985,-24902,-63226,58811,84606,57298,21315,-119641,-79042,-97078,-61397,-3021,-34197,-70627
0,-50647,-178163,-68276,-124387,-81678,13189,5785,70147,23850,37966,38871,-79814,122023,114691,121394,127229,-103783,-84880,-153643,26620,-46677,-65496,-62935,-82809,-66211,-15640,-74003,-89041
0,-292756,-197625,-201290,-143531,-134236,-34656,-189730,-48312,-229403,-106748,-275374,-156346,-64352,-77659,-77166,-83455,-37140,-33015,-116881,-72655,-159618,-155314,-106468,-68733,-17330,-305733,-133553,-161222
0,-282002,-198474,-77740,-164843,-132740,-67897,-188306,-77940,-221238,-105801,-254824,-136913,-57708,-69331,-79203,-90250,-32547,-35827,-125847,-74976,-173252,-131207,-98440,-58256,-13620,-302945,-159963,-157030
0,-247794,-182479,-181702,-125387,-192188,-40485,-87378,-60180,-191365,-86023,-212743,-90615,-71058,-21806,-79844,-87398,-35190,-17138,-56784,-64278,-169589,-115739,-91959,-37749,-25504,-253944,-140208,-146873
0,-289338,-190406,-193253,-81988,-146645,-29931,-195597,-34536,-227239,-106275,-266404,-136942,-71974,-66163,-73063,-83842,-28605,-29681,-123239,-83763,-165680,-150490,-114925,-81224,-28399,-287911,-145591,-159646
0,-269716,-194551,-70407,-175852,-131351,-44780,-148058,-120860,-199793,-85434,-270705,-136016,-57491,-9436,-72720,-89237,-25813,-25707,-140791,-77986,-142307,-120197,-123852,-79487,-4226,-297929,-169199,-150466
0,-284536,-191718,-194249,-108978,-136473,-30618,-126079,-35176,-198838,-98976,-245254,-116827,-63163,-56728,-78784,-88743,-32528,-27653,-78621,-90022,-194127,-100383,-63274,-50806,1443,-256493,-79191,-147149
0,-240159,-176547,-160103,-203988,-123823,-30886,-106707,-25852,-157805,-98265,-192875,-77761,-60868,-52639,-77351,-83930,-23532,-22537,-52246,-90668,-148749,-32676,-95917,-8452,-1060,-248384,8024,-109058
0,-261812,-149330,-149120,-142683,-126962,-38142,-103826,-58504,-152681,-97558,-144437,-13874,-67635,14809,-72323,-83909,-30852,-17574,-116151,-65103,-51834,-64581,-29784,-83460,-27973,-177407,-32801,-48820
0,-136829,-48822,8911,-43394,-110036,-37304,-117369,-45142,-34309,-92870,-33299,94749,-63111,40746,-80021,-86927,-28421,2099,-28460,-49328,83899,53318,130740,-1229,-4465,-63323,102719,84164
0,-254312,-191931,-186521,-154253,-205076,-90412,-199826,-142400,-152776,-61049,-288876,-110624,-6008,-41616,-83425,-57817,52571,-28104,-160145,-91280,-183361,-121226,-17802,-49136,-68599,-274235,10278,-134960
0,-215492,-180041,-186578,-167811,-156631,-122452,-197333,-76175,-145620,-44395,-263274,-93953,18394,-35852,-81904,-71319,45149,-18355,-159687,-76449,-35245,-44344,-38503,-27860,-63509,-259152,-29384,-144397
0,-202506,-98745,-182699,-141963,-195525,-85545,-179725,-101316,-165211,-51371,-193541,-74941,26558,-17242,-82861,-73356,46869,-10515,-135847,-114243,-66879,-90074,-30986,-18556,-61920,-229419,3002,-117451
0,-215856,-189358,-156592,-92244,-228224,-120046,-152894,-84868,-127045,-34246,-185542,-56358,18166,-31797,-78481,-50104,43104,-14408,-127754,-120665,-116181,-9724,-248,-84774,-65242,-215514,5187,-132926
0,-228686,-196123,-177637,-130060,-231769,-124368,-191001,-147344,-102255,-40727,-285494,-105094,10100,-21953,-81073,-65461,42875,-20302,-153368,-126437,-27224,-3628,-23705,-70890,-66531,-267228,8084,-151519
0,-194540,-120079,-123843,-130679,-173567,7962,-142543,-70238,-137913,-72194,-220709,-28877,31566,43516,-84483,-49432,51322,-5254,-109447,-81875,-20160,-73969,27287,-8956,-60322,-193090,-689,-32329
0,-241269,-208026,-104319,-171587,-215282,-39982,-213049,-31050,-155911,-110122,-267647,-136925,2190,-60362,-68936,-39857,29309,-33176,-168723,-72602,-198190,-111273,-69889,-39072,-5960,-249291,-111058,-147989
0,-254871,-163416,-65570,-135709,-183735,-72312,-196651,-96607,-158121,-42620,-264486,-99584,-8505,-23105,-65990,-61724,51887,-34098,-160119,-36854,-176094,-122789,-29186,-72361,11363,-147962,-12358,-64753
0,-250982,-197892,-74533,-181241,-198927,-51554,-176946,-131382,-162562,-91134,-258974,-125241,-3915,2661,-69612,-38689,33594,-30172,-158561,-84288,-106627,-19242,-67069,16863,-2844,-232341,-27277,-111627
0,-74042,-3484,-7399,43695,27734,-68934,-8904,48875,-154017,33089,-3854,88383,12837,75214,-72486,-60481,46566,4856,46480,-23303,55353,-20477,-50205,22864,12499,-111191,80325,72049
0,-226633,-172218,-151689,-156605,-167263,-60988,-164080,-92888,-147278,-24543,-162912,-95153,-21970,-53089,-71986,-66587,54480,-24743,-151558,-68069,-162861,-35717,-50459,-60514,7270,-233229,-37854,-119526
0,-242476,-170201,-98083,-161995,-196690,-51628,-159759,-72258,-130278,-101223,-178297,-77549,1431,-20483,-67747,-44596,69402,-54865,-150939,-91958,-179396,-116493,-65108,-21868,-31327,-225299,-29106,-120307
0,-203180,-142051,-127101,-128059,-195006,-76672,-83467,6345,-156335,-10783,-92588,-6064,-6947,-9204,-70222,-68891,59067,-21676,-103829,-56956,-38690,-46451,-52679,-63534,30947,-160983,20545,-38070
0,-226162,-168163,-44701,-170358,-132812,-55358,-182132,-111825,-87465,-81564,-190360,-91961,11687,-27177,-74490,-39175,67417,-21555,-128502,-53512,-160566,-114922,-64958,-37381,-37224,-213440,-52169,-72667
0,-228925,-159383,-154369,-147361,-189558,-76906,-175202,-80279,-158181,-25889,-208834,-65734,-4865,-30945,-72962,-67675,44592,-20507,-125734,-51748,-171464,-85652,-33851,-77246,36464,-206608,-93,-129607
0,-247876,-192897,-150888,-172870,-212726,-44508,-190675,-40557,-151636,-105043,-179916,-87004,-1963,-55043,-72601,-43455,28549,-28058,-156490,-62861,-172182,-114477,-65191,-77176,16897,-239671,-88720,-99703
0,-272066,-198051,-150128,-210839,-231993,-49913,-187210,-120175,-162267,-63101,-198911,-111348,-17170,-18273,-73082,-38779,43476,-35314,-142033,-96575,-22819,-22943,-48093,-1493,-16284,-216979,-88909,-106995
0,14723,49890,94138,69143,78928,60787,85595,144862,-6451,97260,79659,217058,-86806,-49541,-42930,-50164,-1476,193440,91260,-15067,187389,137907,220703,-58276,-53600,51493,175195,202520
0,22942,44833,79933,-24797,77680,60615,71269,126591,-6854,110139,69999,207336,-66580,-45633,-42049,-82498,-11634,147121,73973,76376,73918,62746,-14605,-3761,-53359,45615,124836,208055
0,-232339,-145503,-175677,-166771,-141941,-29365,-222852,-145290,-71800,-38326,-271061,33139,-84103,-32625,-11581,-52499,-4383,-36629,-140701,-93554,-155684,-104721,21649,-39984,-57003,-129714,13632,-149073
0,-225374,-130471,-175491,-174604,-250879,20807,-163113,-85637,-48220,-73459,-190429,19403,-82105,-30999,-33779,-53543,-4427,-29299,-115102,-69822,-146732,-85018,-27280,8918,-55507,-155907,-85534,-49941
0,-188440,-112091,-172804,-23652,-283528,21318,-171259,-101657,-62527,-2134,-162495,18439,-73604,-35419,-30067,-76120,594,-6106,-109354,-7235,-134504,-84945,57709,-26725,-54803,-259568,-82746,-86013
0,-348247,-196865,-194346,-169904,-233842,-92333,-145912,-165274,-251533,-243895,-220198,-82680,-65060,-70023,-87494,-59217,-66295,-101631,-175213,-142904,-127407,-157042,-154729,-95175,-70497,-417854,-72190,-137813
0,-331849,-211494,-173715,-172460,-249346,-88858,-143219,-90194,-275609,-265492,-163908,-79575,-54752,-77794,-77595,-63108,-64450,-115271,-177877,-141621,-153730,-173227,-57969,-96167,-67332,-416753,-59889,-64425
0,-356292,-223517,-196363,-252776,-292138,-89856,-158838,-121701,-201561,-269966,-165189,-80966,-70118,-84318,-86076,-71198,-74759,-116511,-205638,-136814,-137737,-204951,-172607,-101173,-76942,-434816,-73626,-96635
0,-277527,-162145,-148742,-144416,-165728,-89936,-146993,-88724,-205045,-93502,-143378,-81496,-47805,-62978,-86895,-44096,-65030,-65398,-148831,-148650,-106464,-109130,-108535,-94284,-67072,-319611,-59232,5690
0,-304871,-149044,-110081,-127605,-156285,-91523,-164217,-126150,-147430,-140876,-217118,-82239,-71888,-77474,-91216,-69008,-81230,-72253,-160511,-132803,-90556,-184348,-157971,-98242,-76348,-398777,-69726,-38452
0,-321292,-195132,-125001,-184030,-254475,-87938,-118897,-140960,-263867,-253921,-109944,-79356,-49991,-85837,-74547,-68982,-64870,-107023,-180908,-127908,-141639,-173292,-54541,-95587,-75915,-402313,-60851,-90707
1,-159784,-118546,-4790,-138251,-51264,33795,-17464,-105763,-128274,-29938,-38017,-80809,-54846,-82784,-87111,-65050,292592,29275,-82647,-117915,45656,25354,-85301,-97504,-75292,-130630,-77400,-8294
1,39739,-14780,40670,-122712,-165431,73509,-29717,115811,25778,-34115,38920,-56379,-67423,84194,-56526,-72621,-34335,196917,-119426,46330,190577,144454,-73424,10791,-68959,-189624,-80721,219368
1,48484,36460,119523,-3234,-162375,30589,44538,95080,27661,-84780,-69746,-6832,-52056,29274,-58733,-89706,-19161,232556,-90995,1570,213412,137764,-5817,-48457,-72953,-76778,-75703,150662
1,35507,-132586,111777,39199,-161624,42756,-57137,-65221,-61448,-125522,-42013,-43317,-39439,-16073,-59899,-87132,11963,244839,-93893,-74084,213658,147254,-43773,-55795,-67258,-65203,-71841,36043
1,19950,81798,100928,79059,-31791,104239,-116791,-52948,12755,-98393,63281,-27986,-36953,-19481,-66393,-87157,-1063,231331,-139055,52447,48533,99600,17891,46034,-69662,-91025,-79674,99720
1,20076,81451,102566,-137975,-26404,37487,-134880,19828,35388,-56740,68652,122920,-46938,-32299,-73576,-85542,-6486,217488,-77684,110579,11818,142011,84918,-13375,-71971,-37613,-84366,-6220
1,2808,24534,76624,-32047,-171610,-13462,-71007,36882,4544,-100186,-104018,-52214,-50337,8300,-30852,-87602,-16557,181991,-16451,-121285,157252,94531,-44307,60134,-63212,-195738,-79284,194494
1,42411,75448,89193,-66737,-148059,122564,-113325,-75396,-114722,-81986,-42932,-50851,-57475,126977,33553,-85942,589,248200,-40795,-113454,238162,167157,-31018,-51439,-68704,-221261,-82761,183585
1,45891,79570,117975,96580,-179964,5797,-112850,-82311,-163347,-115351,-61070,-60559,-62015,66845,-1633,-82658,12907,130143,-144282,-84879,240845,164231,-61712,-34582,-68620,-165392,-82745,204470
1,39428,-11149,103232,-19787,17141,-37070,26698,65031,38548,31492,101140,-19065,-48177,-27066,-74524,-80833,-30820,215618,10168,40908,208522,134574,-5277,-51053,-71459,-69776,-82856,160242
1,57078,83871,119272,-40944,-175260,42783,69349,-79146,-155370,-101326,3989,-50041,-61748,110971,13642,-79361,15963,184496,-134043,-91908,215816,160844,-31793,-63535,-69540,-214844,-81252,231045
1,37951,49211,111053,-113308,-167672,140010,-2779,-71146,-127123,-81140,-2603,-34209,-60726,144669,8104,-81375,774,242420,-16787,-120277,234628,171212,-39555,-34081,-69630,-231016,-82951,208724
