0,3970,1692,2628,16,1551,3994,158,3941,604,4119,2413,1251,558,814,2543,5,4926,2978,1543,3980,2569,3285,417,2802,3493,3010,1783,4515,2039,4686
2,4574,3323,2382,3578,2904,4235,2422,4033,2556,1726,1937,2262,4020,571,1991,970,4701,2938,1501,374,1502,4789,1721,3629,2730,218,2973,457,1324,4131
4,26,2291,700,1356,4163,2811,3826,872,914,3439,2662,1077,1273,2164,2964,1729,2133,1066,3953,2262,1980,3527,1569,71,199,360,2681,3608,1947,3662
0,1503,405,3746,1523,1668,3248,3262,4014,3189,488,4339,3357,3556,2958,657,519,3224,1548,1807,1991,3293,1180,1120,3299,3250,2494,2782,2711,3779,812
1,4265,1903,2209,1548,1789,2937,4043,1330,3010,1731,201,4318,4482,694,2074,1098,4554,2611,3209,2028,1520,1836,4459,4808,2325,1462,108,1111,500,4853
1,2676,1179,3133,663,4473,4049,2557,4739,1087,341,2306,2941,4531,4211,1351,4,3729,4719,623,4716,3984,2960,99,328,96,3608,4483,471,1834,575
4,2186,2158,1928,2416,3022,1831,1867,4605,1817,3599,3702,3501,4860,4273,4629,2870,365,824,352,3541,311,4698,37,2377,1965,3123,2243,1646,1102,824
2,162,2656,1561,1209,3158,1673,1511,4973,632,4075,4681,3017,4031,3334,2734,4002,1156,4299,1389,2135,2966,503,1268,1569,1893,2226,1566,2983,2502,2067
2,4144,2185,3403,3628,1825,2479,4957,1561,1362,663,2183,2659,1232,2054,3115,1222,375,972,2566,2394,1787,1821,2278,1060,721,2039,602,4498,1281,2580
0,2886,1415,3426,1125,833,2714,714,3825,1809,3060,384,831,1699,3067,1752,2800,2907,2379,2591,1646,516,4015,2240,4403,4188,702,360,2075,1249,4831
4,3246,3237,88,1152,1903,757,4804,127,1537,919,4440,2908,2981,4803,1395,4313,1713,736,895,3725,1305,2068,2100,3317,2883,3549,3192,2380,2776,1560
3,3009,2840,3489,2679,342,930,4306,4237,2592,2069,1938,32,1960,596,351,2711,1107,3985,1561,733,968,1320,1473,1931,2496,2911,423,4340,2523,3100
1,1061,2143,1665,346,3925,2727,2370,725,803,2709,4354,3111,2596,4308,4832,215,609,4574,4321,3074,324,3727,3410,1506,3261,1487,2729,436,3945,2399
2,1143,4903,3697,4982,150,3997,643,970,992,2337,3830,1188,2826,2875,3817,3914,2527,920,3022,3518,1451,2481,4877,4381,3766,3839,207,3907,2324,485
4,2369,3960,1890,1516,2748,4156,2971,3135,611,3384,1027,2800,4498,2626,537,3287,3701,891,2188,3208,2407,2851,2719,39,138,3191,2886,842,4523,1619
1,1890,4104,1327,563,2530,1,3556,1973,903,3319,3821,2420,2348,3107,2394,322,4052,2805,3869,4874,2684,3630,1366,2509,1321,1149,823,3624,4099,1333
4,1723,2235,2932,2194,3458,3478,984,49,465,685,1292,2502,1610,3366,3833,558,1414,4838,3101,993,4145,3801,3088,3639,4969,4781,2514,1124,130,3823
3,431,4674,214,3544,2076,3448,2420,2670,1994,515,4978,3376,1929,36,1880,3783,465,2207,2339,2167,564,3966,2078,698,390,4000,4824,1479,2006,1762
3,2021,362,2750,1823,1945,3667,3280,2075,3980,4844,2727,3843,2817,2168,2887,2772,3260,1312,892,1011,904,2676,2765,193,1480,3236,4688,4322,2897,4685
4,860,1182,1087,859,2724,4719,3764,539,3616,2204,1326,144,3740,2600,2486,2034,1776,1208,2991,1848,3289,2040,2243,3311,1868,3840,4280,2534,99,1622
2,3424,3951,2731,4610,2038,1946,4430,4123,1361,2929,4412,440,2045,2911,2854,1980,3083,4883,2340,788,1956,4592,3184,1163,4798,3862,2026,2383,153,3632
3,1289,2903,1357,2274,2636,1351,3897,1744,1335,565,2646,2976,2692,388,4195,4088,697,1879,4964,251,3291,3874,1005,3060,2332,4340,12,4027,2286,1645
4,3075,165,2184,4833,1156,2467,3461,1213,2083,3913,2108,2246,2654,2892,332,2165,4960,2853,4136,174,2277,2817,4918,1738,2887,913,4336,3786,1354,1859
0,2756,3807,3016,2925,3311,4632,597,88,1397,2466,2450,304,4265,2170,4558,2290,3890,1108,223,581,2726,4604,2216,2285,1795,4156,236,3140,4157,4391
4,1975,1651,181,1449,300,21,3816,2411,3789,3706,4338,3639,3499,1137,1026,1989,224,2525,1326,1129,3333,207,1563,2876,161,4672,1545,3097,827,1957
0,3578,4007,4823,4796,4225,2517,794,4246,2719,685,1621,1021,738,4748,3424,4440,3803,3482,2074,2221,3559,1592,4973,568,1717,4835,3636,373,1221,3467
2,3035,3430,16,1254,767,3901,3888,4695,3195,3456,439,2225,517,3212,2183,1473,858,4020,3643,4100,3052,1178,869,193,3699,1156,2439,3737,4436,1690
3,4188,4522,4807,3039,446,1062,4810,4772,4612,313,1165,4537,1809,2513,1168,1682,1167,2676,2600,1408,2902,3663,4139,120,4221,4342,3350,3696,3495,3507
3,1604,4213,1121,1959,156,904,80,1795,4218,1563,1750,951,3282,2692,2617,416,3248,479,384,4104,3698,3523,3769,901,401,655,943,4766,4998,3645
2,1868,4040,2614,74,3367,4671,1635,68,4003,3953,870,1073,932,4564,1014,757,1112,925,591,2168,4864,176,2687,4833,2185,4158,2422,147,2511,1556
1,1050,4305,1689,159,1749,4539,3585,322,933,3354,1462,4494,376,4775,385,1787,82,3390,2975,1070,1886,583,3763,68,783,462,2780,159,2878,3518
1,1037,4600,4992,4168,1554,2820,468,1818,1342,3290,284,1387,1527,970,273,1756,3717,4820,4271,4627,1414,3770,1455,4850,3943,1868,3110,3912,4379,3899
2,2756,711,1135,4090,3961,298,1273,3404,2305,2700,4487,3160,2198,888,2237,4244,4008,190,4351,3428,2040,3189,1147,2977,2264,906,3396,835,1125,47
1,3665,213,2791,178,3845,3804,4294,364,4861,2609,4049,4739,1174,2693,3668,1071,719,1879,2808,3101,4847,4177,4431,540,1288,2282,2191,2201,3311,2973
0,3163,3404,2617,653,4696,4120,2367,2293,414,1928,82,3538,2333,520,1818,877,4938,2835,3039,4845,99,1215,479,2255,4492,4777,2146,2730,4810,2931
1,4255,1965,682,2335,1219,3095,1243,15,2912,3543,2972,2874,1500,1635,4691,1353,2315,674,3452,4822,241,410,3972,718,767,288,4490,4423,3704,490
1,2029,442,4256,1598,1838,1999,3411,3847,4333,619,2586,4439,1025,717,1136,453,4116,2692,4450,2860,1130,1924,4938,2081,4027,208,4069,295,2807,3797
3,410,4608,4442,827,2243,3238,2411,1262,4586,1859,2298,4077,454,4447,839,2060,4808,4264,3179,3100,1655,4073,1677,1788,194,4235,1665,2387,1666,156
0,4832,4750,4281,1684,3271,4075,75,142,3249,3846,3189,3444,2694,105,4828,1570,4357,13,1997,272,4953,899,3143,1145,2545,4730,1321,846,772,4874
2,1147,2790,1162,3181,1101,3469,1448,3580,74,3552,3179,498,4586,4588,4554,2288,4946,4404,3916,4761,4865,4465,1974,1172,1634,2028,3662,4016,498,2467
0,3548,2917,346,4431,2907,401,1158,998,771,2189,2201,2339,744,1835,1526,2542,4734,3971,831,1278,3814,2107,2030,4152,3176,4531,1063,2491,3569,2710
1,3899,2224,3629,3335,4522,3300,1809,3724,2261,3379,3415,2114,4494,2171,1273,1765,1785,4687,2188,743,4235,1298,2070,3229,643,4784,801,252,586,4978
0,768,1751,427,1639,3362,3665,1075,3915,4787,2254,2756,3626,2129,185,3695,1793,4347,3953,4221,2779,170,1029,90,735,2764,4781,2858,1420,4133,4250
1,2634,4426,1353,1004,3925,308,42,2619,1174,1469,2303,2046,2056,1877,653,1428,2181,3738,4386,2801,3862,212,4616,4406,629,705,2869,985,2210,1695
0,540,799,2758,162,4885,2021,1865,1666,672,3613,1767,2581,1746,2949,1483,743,677,316,1295,4975,4827,2688,4168,2687,2957,2986,2998,2788,3755,1830
2,4656,1166,1836,1026,3229,4290,1435,1207,4076,1009,4568,578,1861,3507,1940,1089,4748,706,1679,4608,3630,4783,2535,1000,3931,867,1831,4253,760,4737
2,3007,2547,4307,3454,4878,4054,636,2865,2349,3379,249,3128,1326,1993,4099,1844,1626,65,4555,470,4318,735,1861,1395,4299,2143,4196,2850,2723,3134
3,2309,1646,1622,4521,3683,1731,3422,2352,1925,1196,3732,241,4560,2841,747,3656,172,3881,1541,4985,4425,1168,312,3199,22,2269,670,2261,1501,1163
4,369,432,4716,4626,1037,2451,1173,2310,139,2332,2358,357,1962,1569,1255,2160,4895,3797,869,1505,503,3701,765,4690,1602,4022,2444,3026,1527,2312
2,45,794,4321,972,3106,971,310,1082,2147,1602,3759,1474,4588,2465,433,4219,3519,4287,3626,913,1786,2467,2052,2448,3877,1695,1215,1872,472,3096
0,1311,257,3243,3872,2168,3974,448,2820,2474,1520,1730,4160,558,3421,3372,2815,3919,2896,3002,497,1534,2515,2136,1395,3039,738,1247,4172,2263,3931
0,1595,1796,1105,1049,2873,4244,98,1643,2818,916,317,4772,363,1362,3579,4173,1733,582,2588,1787,4254,2664,344,1477,1804,3453,4973,2326,2659,3661
1,79,3115,3540,3215,4886,1661,1729,818,458,836,1160,1072,2078,1842,1819,1280,87,40,3186,3585,2542,3562,3190,1082,4337,2725,3541,2935,4884,4691
4,1567,1072,144,904,4421,3041,1802,61,4492,2022,1266,2851,2377,982,2832,3057,4851,426,4882,9,2835,4971,4014,4502,1949,2128,1359,4404,1949,2546
1,2549,2860,2355,155,627,4947,4754,4327,972,2747,230,1220,2003,2928,3526,4241,1022,4016,3646,2642,3570,440,3470,1214,4830,1111,2843,2726,3007,2021
4,589,636,1388,395,4126,2030,393,1782,4517,2617,1154,3034,3895,4460,1118,153,4886,1564,4385,1824,1121,2806,3710,1488,3677,4875,3537,4137,2519,4439
0,2040,4054,3459,3686,2821,2592,2185,4320,2010,699,1296,4719,3270,1932,1707,167,4214,2206,4827,375,981,86,1223,172,782,4289,554,668,3269,3761
1,2582,3189,1251,2016,1300,897,86,265,3124,2213,3360,1553,1543,1644,97,1511,1034,4028,622,1920,3395,3055,1016,3471,2224,105,1992,1667,1663,195
0,3,4929,1472,4098,2852,303,3729,2658,3836,447,2320,2905,2164,2482,3763,2656,3197,4004,2655,3676,437,2640,3493,755,1317,1819,4808,2193,3216,4878
0,519,4501,1483,4011,2746,1257,646,1355,3763,4529,4889,4800,20,3105,2266,1433,2300,2151,4598,3646,3765,3118,3823,2072,2002,776,289,3962,2032,4171
0,1301,2338,1995,3879,4392,2896,1149,3775,908,2048,1393,195,811,2259,2819,156,4877,1000,2626,2953,980,1189,456,552,2372,4314,3856,424,4359,125
2,2516,4751,3257,4358,1100,3047,4051,730,2264,1515,3868,1408,4457,2651,3272,127,683,72,927,3089,2146,2102,4419,2364,4926,1916,1951,4073,4224,4348
3,3646,2111,133,2446,888,4376,310,4033,2236,4848,4203,4986,2734,1155,3486,1408,1746,2922,1887,1653,1947,3571,125,196,1181,3518,4720,666,2723,3264
3,2847,413,230,4911,4308,316,1428,3217,937,4887,2223,3329,3339,1031,1205,965,2144,815,155,2362,2481,1001,752,2091,4561,321,1482,4770,1815,281
4,1409,2446,4670,2862,4813,661,2462,4182,4511,2027,1465,1401,4838,1023,927,956,2382,4784,3485,4115,4846,3276,2495,2939,4355,2177,1933,3894,3862,978
2,410,974,3056,2767,1908,1188,3947,1162,4495,3759,2943,2820,3563,4266,4616,2387,3415,4328,2016,1915,3440,506,3853,4294,490,2035,4212,3170,34,2436
2,4872,2156,1346,4538,2620,2468,1718,1954,325,2395,2434,1899,2355,3976,1388,1619,2360,4475,1434,4531,2189,326,2897,512,623,2317,1509,3220,4351,3844
4,2705,683,3489,4301,2924,3085,448,2702,2003,548,4841,2324,3628,3135,3917,2504,4244,2878,2186,214,3399,2902,300,3447,3398,3917,4361,4928,25,4758
1,2641,3533,2912,1378,2040,1470,4990,1800,2540,4073,2050,2660,291,2507,3632,3458,652,3187,2537,1082,4398,580,3841,1092,1260,420,2719,4922,1003,1215
3,1754,4305,3051,3372,2064,3579,4421,3445,4006,3049,4064,615,3016,1045,3956,1927,524,3509,3567,2806,4080,4487,827,4032,907,3854,1017,420,2250,2555
2,4135,478,4680,2375,2549,4047,3028,3564,4377,2872,1583,462,2445,484,3536,3250,2380,3393,1417,3440,682,2279,2413,852,1707,4639,2433,3473,3444,3806
3,1004,3210,2717,1031,3556,4280,3366,4134,3909,2227,1883,1906,3833,339,1523,3247,543,3424,355,4351,502,1898,2438,4725,480,1088,3012,1336,3173,852
2,1909,286,265,3611,4828,4010,4807,304,676,3257,3275,3382,716,2541,358,3693,3974,1439,1685,803,2853,3933,1753,3642,4547,1258,971,1757,3590,2553
0,3497,4612,583,1791,1769,3372,3293,3755,4230,4327,1078,2961,4007,2501,1520,639,2893,4366,2618,2306,1773,322,2391,3401,611,851,3914,858,953,2837
0,3902,2602,3896,2533,2985,4207,902,4944,2282,4551,478,411,629,119,3770,950,4957,1152,1955,2910,2439,3108,1668,3497,3942,1824,3806,4542,1437,1181
4,3519,939,3152,3330,241,4697,1972,2223,2859,2859,1260,2063,4375,3979,282,3090,2514,81,3484,2262,3343,1723,2444,1076,4516,3836,2868,402,34,26
